CÓDIGO DO MUNICÍPIO - TOM;CÓDIGO DO MUNICÍPIO - IBGE;MUNICÍPIO - TOM;MUNICÍPIO - IBGE;UF
3353;2902708;BARRA;Barra;BA
3355;2902807;BARRA DA ESTIVA;Barra da Estiva;BA
3357;2902906;BARRA DO CHOCA;Barra do Choca;BA
3359;2903003;BARRA DO MENDES;Barra do Mendes;BA
3361;2903102;BARRA DO ROCHA;Barra do Rocha;BA
3363;2903201;BARREIRAS;Barreiras;BA
3365;2903300;BARRO PRETO;Barro Preto;BA
3367;2903409;BELMONTE;Belmonte;BA
3369;2903508;BELO CAMPO;Belo Campo;BA
3371;2903607;BIRITINGA;Biritinga;BA
3373;2903706;BOA NOVA;Boa Nova;BA
3375;2903805;BOA VISTA DO TUPIM;Boa Vista do Tupim;BA
3377;2903904;BOM JESUS DA LAPA;Bom Jesus da Lapa;BA
3379;2904001;BONINAL;Boninal;BA
3381;2904100;BOQUIRA;Boquira;BA
3383;2904209;BOTUPORA;Botupora;BA
3385;2904308;BREJOES;Brejoes;BA
3387;2904407;BREJOLANDIA;Brejolandia;BA
3389;2904506;BROTAS DE MACAUBAS;Brotas de Macaubas;BA
3391;2904605;BRUMADO;Brumado;BA
3393;2904704;BUERAREMA;Buerarema;BA
3395;2904803;CAATIBA;Caatiba;BA
3397;2904902;CACHOEIRA;Cachoeira;BA
3399;2905008;CACULE;Cacule;BA
3401;2905107;CAEM;Caem;BA
3403;2905206;CAETITE;Caetite;BA
3405;2905305;CAFARNAUM;Cafarnaum;BA
3407;2905404;CAIRU;Cairu;BA
3409;2905503;CALDEIRAO GRANDE;Caldeirao Grande;BA
3411;2905602;CAMACAN;Camacan;BA
3413;2905701;CAMACARI;Camacari;BA
3415;2905800;CAMAMU;Camamu;BA
3417;2905909;CAMPO ALEGRE DE LOURDES;Campo Alegre de Lourdes;BA
3419;2906006;CAMPO FORMOSO;Campo Formoso;BA
3421;2906105;CANAPOLIS;Canapolis;BA
3423;2906204;CANARANA;Canarana;BA
3425;2906303;CANAVIEIRAS;Canavieiras;BA
3427;2906402;CANDEAL;Candeal;BA
3429;2906501;CANDEIAS;Candeias;BA
3431;2906600;CANDIBA;Candiba;BA
3433;2906709;CANDIDO SALES;Candido Sales;BA
3435;2906808;CANSANCAO;Cansancao;BA
3437;2906907;CARAVELAS;Caravelas;BA
3439;2907004;CARDEAL DA SILVA;Cardeal da Silva;BA
3441;2907103;CARINHANHA;Carinhanha;BA
3443;2907202;CASA NOVA;Casa Nova;BA
3445;2907301;CASTRO ALVES;Castro Alves;BA
3447;2907400;CATOLANDIA;Catolandia;BA
3449;2907509;CATU;Catu;BA
3451;2907608;CENTRAL;Central;BA
3453;2907707;CHORROCHO;Chorrocho;BA
3455;2907806;CICERO DANTAS;Cicero Dantas;BA
3457;2907905;CIPO;Cipo;BA
3459;2908002;COARACI;Coaraci;BA
3461;2908101;COCOS;Cocos;BA
3463;2908200;CONCEICAO DA FEIRA;Conceicao da Feira;BA
3465;2908309;CONCEICAO DO ALMEIDA;Conceicao do Almeida;BA
3467;2908408;CONCEICAO DO COITE;Conceicao do Coite;BA
3469;2908507;CONCEICAO DO JACUIPE;Conceicao do Jacuipe;BA
3471;2908606;CONDE;Conde;BA
3473;2908705;CONDEUBA;Condeuba;BA
3475;2908804;CONTENDAS DO SINCORA;Contendas do Sincora;BA
3477;2908903;CORACAO DE MARIA;Coracao de Maria;BA
3479;2909000;CORDEIROS;Cordeiros;BA
3481;2909109;CORIBE;Coribe;BA
3483;2909208;CORONEL JOAO SA;Coronel Joao Sa;BA
3485;2909307;CORRENTINA;Correntina;BA
3487;2909406;COTEGIPE;Cotegipe;BA
3489;2909505;CRAVOLANDIA;Cravolandia;BA
3491;2909604;CRISOPOLIS;Crisopolis;BA
3493;2909703;CRISTOPOLIS;Cristopolis;BA
3495;2909802;CRUZ DAS ALMAS;Cruz das Almas;BA
3497;2909901;CURACA;Curaca;BA
3499;2910008;DARIO MEIRA;Dario Meira;BA
3501;2910107;DOM BASILIO;Dom Basilio;BA
3503;2910206;DOM MACEDO COSTA;Dom Macedo Costa;BA
3505;2910305;ELISIO MEDRADO;Elisio Medrado;BA
3507;2910404;ENCRUZILHADA;Encruzilhada;BA
3509;2910503;ENTRE RIOS;Entre Rios;BA
3511;2910602;ESPLANADA;Esplanada;BA
3513;2910701;EUCLIDES DA CUNHA;Euclides da Cunha;BA
3515;2910800;FEIRA DE SANTANA;Feira de Santana;BA
3517;2910909;FIRMINO ALVES;Firmino Alves;BA
3519;2911006;FLORESTA AZUL;Floresta Azul;BA
3521;2911105;FORMOSA DO RIO PRETO;Formosa do Rio Preto;BA
3523;2911204;GANDU;Gandu;BA
3525;2911303;GENTIO DO OURO;Gentio do Ouro;BA
3527;2911402;GLORIA;Gloria;BA
3529;2911501;GONGOGI;Gongogi;BA
3531;2911600;GOVERNADOR MANGABEIRA;Governador Mangabeira;BA
3533;2911709;GUANAMBI;Guanambi;BA
3535;2911808;GUARATINGA;Guaratinga;BA
3537;2911907;IACU;Iacu;BA
3539;2912004;IBIASSUCE;Ibiassuce;BA
3541;2912103;IBICARAI;Ibicarai;BA
3543;2912202;IBICOARA;Ibicoara;BA
3545;2912301;IBICUI;Ibicui;BA
3547;2912400;IBIPEBA;Ibipeba;BA
3549;2928406;SANTA RITA DE CASSIA;Santa Rita de Cassia;BA
3551;2912509;IBIPITANGA;Ibipitanga;BA
3553;2912608;IBIQUERA;Ibiquera;BA
3555;2912707;IBIRAPITANGA;Ibirapitanga;BA
3557;2912806;IBIRAPUA;Ibirapua;BA
3559;2912905;IBIRATAIA;Ibirataia;BA
3561;2913002;IBITIARA;Ibitiara;BA
3563;2913101;IBITITA;Ibitita;BA
3565;2913200;IBOTIRAMA;Ibotirama;BA
3567;2913309;ICHU;Ichu;BA
3569;2913408;IGAPORA;Igapora;BA
3571;2913507;IGUAI;Iguai;BA
3573;2913606;ILHEUS;Ilheus;BA
3575;2913705;INHAMBUPE;Inhambupe;BA
3577;2913804;IPECAETA;Ipecaeta;BA
3579;2913903;IPIAU;Ipiau;BA
3581;2914000;IPIRA;Ipira;BA
3583;2914109;IPUPIARA;Ipupiara;BA
3585;2914208;IRAJUBA;Irajuba;BA
3587;2914307;IRAMAIA;Iramaia;BA
3589;2914406;IRAQUARA;Iraquara;BA
3591;2914505;IRARA;Irara;BA
3593;2914604;IRECE;Irece;BA
3595;2914703;ITABERABA;Itaberaba;BA
3597;2914802;ITABUNA;Itabuna;BA
3599;2914901;ITACARE;Itacare;BA
3601;2915007;ITAETE;Itaete;BA
3603;2915106;ITAGI;Itagi;BA
3605;2915205;ITAGIBA;Itagiba;BA
3607;2915304;ITAGIMIRIM;Itagimirim;BA
3609;2915403;ITAJU DO COLONIA;Itaju do Colonia;BA
3611;2915502;ITAJUIPE;Itajuipe;BA
3613;2915601;ITAMARAJU;Itamaraju;BA
3615;2915700;ITAMARI;Itamari;BA
3617;2915809;ITAMBE;Itambe;BA
3619;2915908;ITANAGRA;Itanagra;BA
3621;2916005;ITANHEM;Itanhem;BA
3623;2916104;ITAPARICA;Itaparica;BA
3625;2916203;ITAPE;Itape;BA
3627;2916302;ITAPEBI;Itapebi;BA
3629;2916401;ITAPETINGA;Itapetinga;BA
3631;2916500;ITAPICURU;Itapicuru;BA
3633;2916609;ITAPITANGA;Itapitanga;BA
3635;2916708;ITAQUARA;Itaquara;BA
3637;2916807;ITARANTIM;Itarantim;BA
3639;2916906;ITIRUCU;Itirucu;BA
3641;2917003;ITIUBA;Itiuba;BA
3643;2917102;ITORORO;Itororo;BA
3645;2917201;ITUACU;Ituacu;BA
3647;2917300;ITUBERA;Itubera;BA
3649;2917409;JACARACI;Jacaraci;BA
3651;2917508;JACOBINA;Jacobina;BA
3653;2917607;JAGUAQUARA;Jaguaquara;BA
3655;2917706;JAGUARARI;Jaguarari;BA
3657;2917805;JAGUARIPE;Jaguaripe;BA
3659;2917904;JANDAIRA;Jandaira;BA
3661;2918001;JEQUIE;Jequie;BA
3663;2918100;JEREMOABO;Jeremoabo;BA
3665;2918209;JIQUIRICA;Jiquirica;BA
3667;2918308;JITAUNA;Jitauna;BA
3669;2918407;JUAZEIRO;Juazeiro;BA
3671;2918506;JUSSARA;Jussara;BA
3673;2918605;JUSSIAPE;Jussiape;BA
3675;2918704;LAFAIETE COUTINHO;Lafaiete Coutinho;BA
3677;2918803;LAJE;Laje;BA
3679;2918902;LAJEDAO;Lajedao;BA
3681;2919009;LAJEDINHO;Lajedinho;BA
3683;2919108;LAMARAO;Lamarao;BA
3685;2919207;LAURO DE FREITAS;Lauro de Freitas;BA
3687;2919306;LENCOIS;Lencois;BA
3689;2919405;LICINIO DE ALMEIDA;Licinio de Almeida;BA
3691;2919504;LIVRAMENTO DE NOSSA SENHORA;Livramento de Nossa Senhora;BA
3693;2919603;MACAJUBA;Macajuba;BA
3695;2919702;MACARANI;Macarani;BA
3697;2919801;MACAUBAS;Macaubas;BA
3699;2919900;MACURURE;Macurure;BA
3701;2920007;MAIQUINIQUE;Maiquinique;BA
3703;2920106;MAIRI;Mairi;BA
3705;2920205;MALHADA;Malhada;BA
3707;2920304;MALHADA DE PEDRAS;Malhada de Pedras;BA
3709;2920403;MANOEL VITORINO;Manoel Vitorino;BA
3711;2920502;MARACAS;Maracas;BA
3713;2920601;MARAGOGIPE;Maragogipe;BA
3715;2920700;MARAU;Marau;BA
3717;2920809;MARCIONILIO SOUZA;Marcionilio Souza;BA
3719;2920908;MASCOTE;Mascote;BA
3721;2921005;MATA DE SAO JOAO;Mata de Sao Joao;BA
3723;2921104;MEDEIROS NETO;Medeiros Neto;BA
3725;2921203;MIGUEL CALMON;Miguel Calmon;BA
3727;2921302;MILAGRES;Milagres;BA
3729;2921401;MIRANGABA;Mirangaba;BA
3731;2921500;MONTE SANTO;Monte Santo;BA
3733;2921609;MORPARA;Morpara;BA
3735;2921708;MORRO DO CHAPEU;Morro do Chapeu;BA
3737;2921807;MORTUGABA;Mortugaba;BA
3739;2921906;MUCUGE;Mucuge;BA
3741;2922003;MUCURI;Mucuri;BA
3743;2922102;MUNDO NOVO;Mundo Novo;BA
3745;2922201;MUNIZ FERREIRA;Muniz Ferreira;BA
3747;2922300;MURITIBA;Muritiba;BA
3749;2922409;MUTUIPE;Mutuipe;BA
3751;2922508;NAZARE;Nazare;BA
3753;2922607;NILO PECANHA;Nilo Pecanha;BA
3755;2922706;NOVA CANAA;Nova Canaa;BA
3757;2922805;NOVA ITARANA;Nova Itarana;BA
3759;2922904;NOVA SOURE;Nova Soure;BA
3761;2923001;NOVA VICOSA;Nova Vicosa;BA
3763;2923100;OLINDINA;Olindina;BA
3765;2923209;OLIVEIRA DOS BREJINHOS;Oliveira dos Brejinhos;BA
3767;2923308;OURICANGAS;Ouricangas;BA
3769;2923407;PALMAS DE MONTE ALTO;Palmas de Monte Alto;BA
3771;2923506;PALMEIRAS;Palmeiras;BA
3773;2923605;PARAMIRIM;Paramirim;BA
3775;2923704;PARATINGA;Paratinga;BA
3777;2923803;PARIPIRANGA;Paripiranga;BA
3779;2923902;PAU BRASIL;Pau Brasil;BA
3781;2924009;PAULO AFONSO;Paulo Afonso;BA
3783;2924108;PEDRAO;Pedrao;BA
3785;2924207;PEDRO ALEXANDRE;Pedro Alexandre;BA
3787;2924306;PIATA;Piata;BA
3789;2924405;PILAO ARCADO;Pilao Arcado;BA
3791;2924504;PINDAI;Pindai;BA
3793;2924603;PINDOBACU;Pindobacu;BA
3795;2924702;PIRIPA;Piripa;BA
3797;2924801;PIRITIBA;Piritiba;BA
3799;2924900;PLANALTINO;Planaltino;BA
3801;2925006;PLANALTO;Planalto;BA
3803;2925105;POCOES;Pocoes;BA
3805;2925204;POJUCA;Pojuca;BA
3807;2925303;PORTO SEGURO;Porto Seguro;BA
3809;2925402;POTIRAGUA;Potiragua;BA
3811;2925501;PRADO;Prado;BA
3813;2925600;PRESIDENTE DUTRA;Presidente Dutra;BA
3815;2925709;PRESIDENTE JANIO QUADROS;Presidente Janio Quadros;BA
3817;2925808;QUEIMADAS;Queimadas;BA
3819;2925907;QUIJINGUE;Quijingue;BA
3821;2926004;REMANSO;Remanso;BA
3823;2926103;RETIROLANDIA;Retirolandia;BA
3825;2926202;RIACHAO DAS NEVES;Riachao das Neves;BA
3827;2926301;RIACHAO DO JACUIPE;Riachao do Jacuipe;BA
3829;2926400;RIACHO DE SANTANA;Riacho de Santana;BA
3831;2926509;RIBEIRA DO AMPARO;Ribeira do Amparo;BA
3833;2926608;RIBEIRA DO POMBAL;Ribeira do Pombal;BA
3835;2926707;RIO DE CONTAS;Rio de Contas;BA
3837;2926806;RIO DO ANTONIO;Rio do Antonio;BA
3839;2926905;RIO DO PIRES;Rio do Pires;BA
3841;2927002;RIO REAL;Rio Real;BA
3843;2927101;RODELAS;Rodelas;BA
3845;2927200;RUY BARBOSA;Ruy Barbosa;BA
3847;2927309;SALINAS DA MARGARIDA;Salinas da Margarida;BA
3849;2927408;SALVADOR;Salvador;BA
3851;2927507;SANTA BARBARA;Santa Barbara;BA
3853;2927606;SANTA BRIGIDA;Santa Brigida;BA
3855;2927705;SANTA CRUZ CABRALIA;Santa Cruz Cabralia;BA
3857;2927804;SANTA CRUZ DA VITORIA;Santa Cruz da Vitoria;BA
3859;2927903;SANTA INES;Santa Ines;BA
3861;2928000;SANTALUZ;Santaluz;BA
3863;2928109;SANTA MARIA DA VITORIA;Santa Maria da Vitoria;BA
3865;2928208;SANTANA;Santana;BA
3867;2928307;SANTANOPOLIS;Santanopolis;BA
3869;2928505;SANTA TERESINHA;Santa Terezinha;BA
3871;2928604;SANTO AMARO;Santo Amaro;BA
3873;2928703;SANTO ANTONIO DE JESUS;Santo Antonio de Jesus;BA
3875;2928802;SANTO ESTEVAO;Santo Estevao;BA
3877;2928901;SAO DESIDERIO;Sao Desiderio;BA
3879;2929008;SAO FELIX;Sao Felix;BA
3881;2929107;SAO FELIPE;Sao Felipe;BA
3883;2929206;SAO FRANCISCO DO CONDE;Sao Francisco do Conde;BA
3885;2929305;SAO GONCALO DOS CAMPOS;Sao Goncalo dos Campos;BA
3887;2929404;SAO MIGUEL DAS MATAS;Sao Miguel das Matas;BA
3889;2929503;SAO SEBASTIAO DO PASSE;Sao Sebastiao do Passe;BA
3891;2929602;SAPEACU;Sapeacu;BA
3893;2929701;SATIRO DIAS;Satiro Dias;BA
3895;2929800;SAUDE;Saude;BA
3897;2929909;SEABRA;Seabra;BA
3899;2930006;SEBASTIAO LARANJEIRAS;Sebastiao Laranjeiras;BA
3901;2930105;SENHOR DO BONFIM;Senhor do Bonfim;BA
3903;2930204;SENTO SE;Sento Se;BA
3905;2930303;SERRA DOURADA;Serra Dourada;BA
3907;2930402;SERRA PRETA;Serra Preta;BA
3909;2930501;SERRINHA;Serrinha;BA
3911;2930600;SERROLANDIA;Serrolandia;BA
3913;2930709;SIMOES FILHO;Simoes Filho;BA
3915;2930808;SOUTO SOARES;Souto Soares;BA
3917;2930907;TABOCAS DO BREJO VELHO;Tabocas do Brejo Velho;BA
3919;2931004;TANHACU;Tanhacu;BA
3921;2931103;TANQUINHO;Tanquinho;BA
3923;2931202;TAPEROA;Taperoa;BA
3925;2931301;TAPIRAMUTA;Tapiramuta;BA
3927;2931400;TEODORO SAMPAIO;Teodoro Sampaio;BA
3929;2931509;TEOFILANDIA;Teofilandia;BA
3931;2931608;TEOLANDIA;Teolandia;BA
3933;2931707;TERRA NOVA;Terra Nova;BA
3935;2931806;TREMEDAL;Tremedal;BA
3937;2931905;TUCANO;Tucano;BA
3939;2932002;UAUA;Uaua;BA
3941;2932101;UBAIRA;Ubaira;BA
3943;2932200;UBAITABA;Ubaitaba;BA
3945;2932309;UBATA;Ubata;BA
3947;2932408;UIBAI;Uibai;BA
3949;2932507;UNA;Una;BA
3951;2932606;URANDI;Urandi;BA
3953;2932705;URUCUCA;Urucuca;BA
3955;2932804;UTINGA;Utinga;BA
3957;2932903;VALENCA;Valenca;BA
3959;2933000;VALENTE;Valente;BA
3961;2933109;VARZEA DO POCO;Varzea do Poco;BA
3963;2933208;VERA CRUZ;Vera Cruz;BA
3965;2933307;VITORIA DA CONQUISTA;Vitoria da Conquista;BA
3967;2933406;WAGNER;Wagner;BA
3969;2933505;WENCESLAU GUIMARAES;Wenceslau Guimaraes;BA
3971;2933604;XIQUE-XIQUE;Xique-Xique;BA
3973;2919157;LAPAO;Lapao;BA
3975;2919959;MAETINGA;Maetinga;BA
3977;2920452;MANSIDAO;Mansidao;BA
3979;2922656;NORDESTINA;Nordestina;BA
3981;2924058;PE DE SERRA;Pe de Serra;BA
3983;2924652;PINTADAS;Pintadas;BA
3985;2925956;RAFAEL JAMBEIRO;Rafael Jambeiro;BA
3987;2928059;SANTA LUZIA;Santa Luzia;BA
3989;2929255;SAO GABRIEL;Sao Gabriel;BA
3991;2931053;TANQUE NOVO;Tanque Novo;BA
3993;2931350;TEIXEIRA DE FREITAS;Teixeira de Freitas;BA
3995;2933158;VARZEA NOVA;Varzea Nova;BA
3997;2933059;VARZEA DA ROCA;Varzea da Roca;BA
3999;2933455;WANDERLEY;Wanderley;BA
1110;2903276;BARROCAS;Barrocas;BA
1112;2919553;LUIS EDUARDO MAGALHAES;Luis Eduardo Magalhaes;BA
9859;2917359;JABORANDI;Jaborandi;BA
